"hgnc	hallmarks_of_aging"
"EGLN1"	"'transcriptional alterations','accumulation of reactive oxygen species'"
"PRKCB"	"'nuclear architecture impairment','alterations in histone modifications','transcriptional alterations'"
"MAP3K7"	"'alterations in histone modifications','sterile inflammation'"
"MCTS1"	"'nuclear DNA instability'"
"MAPK1"	"'nuclear DNA instability','INS/IGF-1 pathway dysregulation','intercellular communication impairment'"
"NUDT8"	""
"HNRNPR"	""
"FLNA"	""
"NUP98"	"'nuclear architecture impairment','degradation of proteolytic systems'"
"CA4"	""
"SH2D1A"	"'intercellular communication impairment'"
"TMEM185A"	""
"B3GLCT"	""
"NPM1"	"'nuclear DNA instability','chromatin remodeling','transcriptional alterations','senescent cells accumulation'"
"SMC3"	"'nuclear DNA instability','stem cell exhaustion'"
"MTX2"	"'impairment of the mitochondrial integrity and biogenesis'"
"RBM23"	""
"C1QBP"	"'transcriptional alterations'"
"PHF3"	"'transcriptional alterations'"
"PLSCR3"	""
"HNRNPA1"	"'intercellular communication impairment'"
"CTBS"	""
"CXCL10"	"'transcriptional alterations','sterile inflammation','intercellular communication impairment'"
"UGP2"	""
"RRBP1"	""
"NSG1"	"'intercellular communication impairment'"
"PKM"	""
"GAD1"	"'intercellular communication impairment'"
"S100A12"	"'sterile inflammation'"
"SATB1"	"'chromatin remodeling','transcriptional alterations'"
"APOD"	""
"C1QL1"	""
"PAPSS1"	""
"SELL"	""
"GFRA2"	""
"YWHAE"	""
"NT5C2"	""
"DUSP4"	""
"HNRNPAB"	""
"ATP5PF"	""
"NBR1"	""
"NR4A1"	"'transcriptional alterations'"
"DEFA1"	""
"CD44"	"'sterile inflammation'"
"CLEC2B"	""
"VAMP3"	""
"CD5"	""
"KAZALD1"	"'INS/IGF-1 pathway dysregulation'"
"FLT3LG"	""
"MDH2"	"'accumulation of reactive oxygen species'"
"OLFM1"	""
"DEAF1"	"'transcriptional alterations'"
"ENPP5"	"'intercellular communication impairment'"
"APBB1"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'"
"RNGTT"	""
"S100A4"	""
"DCK"	""
"PTPN6"	""
"APOBEC3G"	""
"FCGR3B"	""
"CBX5"	"'nuclear DNA instability','transcriptional alterations'"
"SCN4B"	""
"ARHGAP45"	""
"DERL1"	"'degradation of proteolytic systems'"
"HIBCH"	""
"TWF1"	""
"DLD"	"'degradation of proteolytic systems','accumulation of reactive oxygen species'"
"BACH2"	"'transcriptional alterations'"
"FKBP14"	""
"MTIF3"	""
"UTS2"	"'intercellular communication impairment'"
"TNFAIP8"	""
"CUL4B"	"'nuclear DNA instability','alterations in histone modifications','degradation of proteolytic systems'"
"TGFBR2"	""
"BIN1"	"'nuclear architecture impairment','transcriptional alterations'"
"RAB18"	""
"DNAJA2"	""
"USP25"	"'degradation of proteolytic systems'"
"NDUFB8"	"'accumulation of reactive oxygen species'"
"DIDO1"	"'transcriptional alterations'"
"IL16"	""
"RPS6KA5"	"'alterations in histone modifications','transcriptional alterations','sterile inflammation'"
"KLC1"	""
"DPEP2"	"'degradation of proteolytic systems'"
"NISCH"	""
"PRKCQ"	"'degradation of proteolytic systems','sterile inflammation'"
"CEP57"	""
"HGS"	""
"CLIC1"	""
"TNFRSF10B"	""
"TPI1"	""
"KRT1"	""
"ADAM10"	"'degradation of proteolytic systems','intercellular communication impairment','changes in the extracellular matrix structure'"
"CYCS"	"'degradation of proteolytic systems','accumulation of reactive oxygen species'"
"PPIA"	""
"CSNK2A2"	""
"CLEC11A"	""
"CD80"	""
"QKI"	""
"SNCA"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','intercellular communication impairment'"
"NECTIN2"	"'nuclear architecture impairment','impairment of the mitochondrial integrity and biogenesis'"
"MFAP3L"	""
"PPFIA1"	""
"CPT1B"	""
"CD7"	""
"PABPC4"	""
"RAD23A"	"'nuclear DNA instability','degradation of proteolytic systems'"
"HSP90B1"	"'impairment of proteins folding and stability','degradation of proteolytic systems'"
"SELPLG"	""
"TXNDC11"	""
"GLRX2"	"'nuclear DNA instability','accumulation of reactive oxygen species','intercellular communication impairment'"
"PRKCI"	""
"CX3CL1"	"'transcriptional alterations','sterile inflammation','intercellular communication impairment'"
"QSOX1"	"'accumulation of reactive oxygen species','changes in the extracellular matrix structure'"
"SGTA"	"'degradation of proteolytic systems'"
"FAXDC2"	"'accumulation of reactive oxygen species'"
"NME1"	""
"SMAD4"	"'transcriptional alterations','stem cell exhaustion'"
"SBDS"	""
"PNKP"	"'nuclear DNA instability'"
"POLI"	"'nuclear DNA instability'"
"PRKCG"	"'intercellular communication impairment'"
"GRK2"	""
"MICB"	""
"MAD1L1"	""
"DPYSL3"	""
"PIK3C2A"	"'INS/IGF-1 pathway dysregulation'"
"EIF5A"	"'transcriptional alterations'"
"PPP2R1A"	"'nuclear DNA instability'"
"AASS"	"'transcriptional alterations','accumulation of reactive oxygen species'"
"ABCA9"	""
"ABCD3"	""
"ABCG1"	""
"ABCG2"	""
"ABHD1"	""
"ABLIM1"	""
"ABLIM2"	"'transcriptional alterations'"
"ACAA2"	"'impairment of the mitochondrial integrity and biogenesis'"
"ACADVL"	"'accumulation of reactive oxygen species'"
"ACF"	""
"ACKR2"	"'sterile inflammation'"
"SDHAF3"	""
"ACOT9"	""
"ACP1"	""
"ACP2"	""
"ACRV1"	""
"ACSBG1"	""
"ACSL5"	""
"ACTA1"	""
"ACTN4"	""
"ACY3"	""
"TMEM167B"	""
"ADAM8"	"'degradation of proteolytic systems','sterile inflammation','changes in the extracellular matrix structure'"
"ADCY3"	""
"ADH1B"	"'accumulation of reactive oxygen species'"
"ADIRF"	"'transcriptional alterations'"
"ADPRS"	"'nuclear DNA instability'"
"AGO2"	"'transcriptional alterations'"
"AGPAT1"	""
"ETNPPL"	""
"AHCYL1"	""
"AHNAK"	""
"AHR"	"'transcriptional alterations'"
"AIP"	"'transcriptional alterations'"
"AKAP8"	"'nuclear DNA instability'"
"AKTIP"	"'nuclear DNA instability'"
"ALDH1B1"	"'accumulation of reactive oxygen species'"
"ALDH6A1"	"'accumulation of reactive oxygen species'"
"ALDH9A1"	"'accumulation of reactive oxygen species'"
"ALKBH7"	"'nuclear DNA instability','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species'"
"ALOX5AP"	"'accumulation of reactive oxygen species','sterile inflammation'"
"STRADB"	""
"ANAPC5"	"'degradation of proteolytic systems'"
"ANK3"	""
"ANKRD13C"	""
"NUSAP1"	"'nuclear DNA instability'"
"ANXA3"	""
"ANXA4"	"'transcriptional alterations'"
"KDM1A"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'"
"AP3S1"	"'INS/IGF-1 pathway dysregulation'"
"AP4S1"	""
"TXNDC9"	""
"API5"	""
"APOBEC3A"	""
"APPBP2"	"'degradation of proteolytic systems'"
"ARF3"	""
"ARFGEF1"	""
"ARHGEF3"	""
"ARIH1"	"'degradation of proteolytic systems'"
"ARPP19"	""
"ASB12"	""
"ASCL1"	"'transcriptional alterations'"
"ASF1A"	"'nuclear DNA instability','chromatin remodeling'"
"ASMTL"	""
"ASXL1"	"'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems'"
"ATG4B"	"'degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"ATP5F1C"	""
"ATP5F1A"	""
"ATP5MC1"	""
"ATP5PD"	""
"ATP5ME"	""
"ATP6V0B"	""
"ATP6V1A"	""
"ATP6V1G2"	""
"ATP6V1H"	""
"ATP7A"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','changes in the extracellular matrix structure'"
"ATRX"	"'nuclear DNA instability','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'"
"B3GALNT1"	""
"B4GAT1"	""
"B3GNT2"	""
"BBOX1"	"'accumulation of reactive oxygen species'"
"BCL11A"	"'transcriptional alterations'"
"BCL11B"	"'transcriptional alterations'"
"TRIM58"	"'degradation of proteolytic systems'"
"BLMH"	"'degradation of proteolytic systems'"
"BMP5"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation'"
"BNIP3"	"'impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','disabled macroautophagy'"
"BNIP3L"	"'impairment of the mitochondrial integrity and biogenesis'"
"BOP1"	""
"BRAF"	"'stem cell exhaustion'"
"BRAP"	""
"BRD2"	"'chromatin remodeling','transcriptional alterations'"
"BRF2"	""
"BTNL3"	""
"C1QC"	""
"C3AR1"	"'sterile inflammation'"
"C4A"	"'sterile inflammation'"
"C5"	"'sterile inflammation'"
"C5AR1"	"'transcriptional alterations','sterile inflammation'"
"CA14"	""
"CA2"	""
"CACNB1"	"'intercellular communication impairment'"
"CACNB2"	"'intercellular communication impairment'"
"CACNG4"	""
"CALB1"	""
"CALB2"	""
"CALM1"	""
"CAMK4"	"'sterile inflammation'"
"CAMKK2"	"'AMPK pathway dysregulation'"
"CAP2"	""
"CAPN7"	"'degradation of proteolytic systems'"
"CAPZA2"	""
"CASP10"	"'degradation of proteolytic systems'"
"CAV2"	"'INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis'"
"CBLB"	""
"CCKBR"	""
"CCL5"	"'sterile inflammation','intercellular communication impairment'"
"CCNG2"	""
"CCNL2"	"'transcriptional alterations'"
"CCR1"	"'sterile inflammation','intercellular communication impairment'"
"CCR7"	"'sterile inflammation'"
"TNFRSF4"	"'sterile inflammation'"
"CD14"	"'sterile inflammation'"
"CD244"	""
"CD3G"	""
"CD46"	""
"CD47"	""
"CD58"	""
"CD96"	"'sterile inflammation'"
"ADGRE5"	"'sterile inflammation','intercellular communication impairment'"
"CDC26"	"'degradation of proteolytic systems'"
"CDK13"	""
"CDC40"	""
"CDC5L"	"'nuclear DNA instability','transcriptional alterations'"
"CDH13"	"'transcriptional alterations'"
"CDH22"	""
"CDHR2"	""
"CDK11A"	""
"CDK2"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','senescent cells accumulation'"
"CDK5R1"	""
"CDO1"	"'accumulation of reactive oxygen species','sterile inflammation'"
"CDV3"	""
"CEACAM4"	""
"CELF1"	""
"CELF2"	""
"CENPO"	"'nuclear DNA instability'"
"ADAP1"	""
"CFDP1"	"'chromatin remodeling'"
"CFH"	"'degradation of proteolytic systems'"
"CFHR1"	""
"TMBIM4"	""
"DPH5"	""
"TPPP3"	""
"SAMM50"	"'impairment of the mitochondrial integrity and biogenesis'"
"CHCHD3"	"'impairment of the mitochondrial integrity and biogenesis'"
"CHPT1"	""
"CHRNA1"	"'intercellular communication impairment'"
"CHST2"	"'sterile inflammation'"
"CITED2"	"'transcriptional alterations','senescent cells accumulation'"
"CKLF"	""
"CMTM7"	""
"CLDN5"	""
"CLIC2"	"'accumulation of reactive oxygen species'"
"CLIP1"	""
"CLK1"	""
"CLN8"	"'impairment of the mitochondrial integrity and biogenesis'"
"CLSTN1"	""
"CLTB"	""
"CNIH4"	""
"CNOT8"	"'transcriptional alterations'"
"CNTN1"	""
"COBLL1"	""
"COMT"	"'intercellular communication impairment'"
"COPA"	""
"COPS6"	"'degradation of proteolytic systems'"
"COQ3"	""
"COX10"	"'impairment of the mitochondrial integrity and biogenesis'"
"COX11"	"'accumulation of reactive oxygen species'"
"COX7A2P2"	""
"CPSF1"	""
"CPSF2"	""
"CR2"	""
"CREBL2"	"'transcriptional alterations'"
"CREBZF"	"'transcriptional alterations'"
"CRH"	"'sterile inflammation','intercellular communication impairment'"
"CRKL"	""
"DPYSL5"	""
"CS"	""
"CSNK1A1"	"'degradation of proteolytic systems'"
"CSPP1"	""
"CSRP1"	""
"PET117"	""
"CSTF3"	""
"CTBP1"	"'chromatin remodeling','transcriptional alterations','accumulation of reactive oxygen species'"
"CTSA"	"'degradation of proteolytic systems'"
"CX3CR1"	"'intercellular communication impairment'"
"CXCL1"	"'sterile inflammation'"
"CXCL5"	"'sterile inflammation','intercellular communication impairment'"
"CXCR3"	"'sterile inflammation'"
"ACKR3"	""
"CYP4X1"	"'accumulation of reactive oxygen species'"
"CMC2"	""
"DCLRE1C"	"'nuclear DNA instability','telomere attrition'"
"PCBD2"	"'accumulation of reactive oxygen species'"
"DDT"	""
"DDX12P"	""
"DDX17"	"'transcriptional alterations'"
"DDX42"	""
"DDX55"	""
"DECR1"	"'accumulation of reactive oxygen species'"
"DEDD"	""
"DEXI"	""
"DFFB"	"'nuclear DNA instability'"
"DGCR8"	""
"DGKA"	""
"DHRS3"	"'accumulation of reactive oxygen species'"
"DIMT1"	""
"DIS3"	""
"DLEU1"	""
"CENATAC"	""
"DMRT2"	"'transcriptional alterations'"
"DNAJC7"	"'impairment of proteins folding and stability'"
"DNASE1L1"	""
"DPF2"	"'chromatin remodeling','transcriptional alterations'"
"DPYD"	"'accumulation of reactive oxygen species'"
"DTNBP1"	""
"DUSP13"	""
"DUSP19"	""
"DUSP2"	""
"DUSP5"	""
"DYNC1H1"	""
"DYRK4"	""
"E2F4"	"'transcriptional alterations'"
"FAM162A"	""
"EBNA1BP2"	""
"ECHDC2"	""
"ECPAS"	"'degradation of proteolytic systems'"
"ECSIT"	""
"EDAR"	""
"EDEM3"	""
"EFCAB7"	"'transcriptional alterations'"
"EFTUD2"	""
"EGR2"	"'transcriptional alterations'"
"EGR3"	"'transcriptional alterations','intercellular communication impairment'"
"EHD3"	""
"EHMT1"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'"
"AGO4"	"'nuclear DNA instability'"
"EIF4B"	""
"EIF4H"	""
"ELF2"	"'transcriptional alterations'"
"ELMO3"	""
"ADGRE1"	""
"ENSA"	""
"EPB41"	""
"EPB41L2"	""
"EPB41L3"	""
"EPM2A"	""
"ERP27"	""
"ETF1"	""
"ETFDH"	"'accumulation of reactive oxygen species'"
"ETNK1"	""
"EXOC5"	""
"EXOC7"	""
"EYA1"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations'"
"F13A1"	""
"FAAH"	""
"FABP3"	""
"FANCC"	"'nuclear DNA instability','accumulation of reactive oxygen species','stem cell exhaustion'"
"FASTK"	"'impairment of the mitochondrial integrity and biogenesis'"
"FBXO22"	"'degradation of proteolytic systems','intercellular communication impairment'"
"FBXW11"	"'degradation of proteolytic systems'"
"FCER1A"	""
"FCER1G"	""
"FCGR1A"	"'sterile inflammation'"
"FCGR2A"	""
"FCGRT"	""
"FERMT2"	""
"FEZ1"	"'impairment of the mitochondrial integrity and biogenesis'"
"FGF1"	"'transcriptional alterations'"
"FGF12"	"'intercellular communication impairment'"
"FGF13"	"'intercellular communication impairment'"
"FGFR2"	"'transcriptional alterations','stem cell exhaustion','intercellular communication impairment'"
"FH"	"'nuclear DNA instability'"
"FHOD1"	"'transcriptional alterations'"
"FKBP1A"	"'impairment of proteins folding and stability'"
"FLI1"	"'transcriptional alterations'"
"FLOT1"	"'changes in the extracellular matrix structure'"
"FLOT2"	""
"FLRT3"	""
"FLVCR2"	""
"FNTA"	""
"FOSL2"	"'transcriptional alterations'"
"FOXC1"	"'transcriptional alterations'"
"FOXG1"	"'transcriptional alterations'"
"FOXJ3"	"'transcriptional alterations'"
"FRMPD4"	""
"FRY"	""
"FTL"	""
"FUBP3"	"'transcriptional alterations'"
"FUS"	"'transcriptional alterations'"
"FUT6"	""
"FXR1"	""
"FXYD5"	""
"FYN"	"'sterile inflammation'"
"FZR1"	"'nuclear DNA instability','degradation of proteolytic systems','senescent cells accumulation'"
"G3BP1"	"'nuclear DNA instability'"
"GABPA"	"'transcriptional alterations'"
"GABRB3"	"'intercellular communication impairment'"
"GABRD"	"'intercellular communication impairment'"
"GAL3ST4"	"'intercellular communication impairment'"
"GALK2"	""
"GALNT7"	""
"GAPVD1"	""
"GATM"	""
"GDA"	""
"GET4"	"'degradation of proteolytic systems'"
"GFAP"	""
"GFPT1"	""
"GGA2"	""
"GGA3"	""
"GGT1"	"'degradation of proteolytic systems'"
"GIPC1"	"'intercellular communication impairment'"
"GIT2"	""
"GJA1"	"'intercellular communication impairment'"
"GLG1"	"'degradation of proteolytic systems'"
"GLRX3"	"'accumulation of reactive oxygen species'"
"GNA11"	""
"GNA12"	"'TOR pathway dysregulation'"
"GNAQ"	""
"GNG12"	""
"GOLGB1"	""
"GORASP2"	""
"GOSR2"	""
"GP5"	""
"CMKLR2"	""
"LGR5"	""
"GRAP2"	"'intercellular communication impairment'"
"GRIA1"	"'intercellular communication impairment'"
"GRIN2A"	"'degradation of proteolytic systems','intercellular communication impairment'"
"GSPT1"	""
"GUSBP1"	""
"GYG1"	""
"HABP4"	"'nuclear architecture impairment'"
"LAMTOR5"	"'TOR pathway dysregulation'"
"FUNDC2"	"'impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"HCRTR2"	"'intercellular communication impairment'"
"HDAC4"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','sterile inflammation'"
"HDAC5"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','sterile inflammation'"
"HEBP2"	"'impairment of the mitochondrial integrity and biogenesis'"
"HEPH"	"'accumulation of reactive oxygen species'"
"HERC1"	"'disabled macroautophagy'"
"HGH1"	""
"HIBADH"	"'accumulation of reactive oxygen species'"
"HILPDA"	"'intercellular communication impairment'"
"HIPK3"	"'transcriptional alterations'"
"H2AC6"	""
"H4C3"	"'nuclear DNA instability','chromatin remodeling'"
"HLA-B"	""
"HLA-C"	""
"HLA-F"	""
"HMBS"	""
"HMGN2"	""
"HMGXB4"	""
"HMOX2"	"'accumulation of reactive oxygen species'"
"HNRNPC"	"'chromatin remodeling'"
"HNRNPH2"	""
"HNRNPH3"	""
"HNRNPL"	"'intercellular communication impairment'"
"HNRNPU"	"'transcriptional alterations'"
"HOPX"	"'alterations in histone modifications','transcriptional alterations'"
"HOXB2"	"'transcriptional alterations'"
"HPN"	"'degradation of proteolytic systems','changes in the extracellular matrix structure'"
"HPRT1"	""
"AGFG1"	"'nuclear architecture impairment'"
"TRIOBP"	""
"HSD17B6"	"'accumulation of reactive oxygen species'"
"HSF2"	"'transcriptional alterations'"
"OTUD4"	"'degradation of proteolytic systems'"
"MPHOSPH8"	"'alterations in DNA methylation'"
"HSPA13"	"'impairment of proteins folding and stability'"
"WDR91"	"'degradation of proteolytic systems'"
"ZC3H7A"	""
"TRMT112"	"'alterations in histone modifications'"
"TIMM21"	""
"HYI"	""
"HTATSF1"	"'transcriptional alterations'"
"HTR2A"	"'intercellular communication impairment'"
"HYPK"	"'impairment of proteins folding and stability'"
"CILK1"	""
"ID2"	"'transcriptional alterations','senescent cells accumulation'"
"IDH3A"	"'accumulation of reactive oxygen species'"
"IDS"	""
"IKZF1"	"'transcriptional alterations'"
"ILF2"	""
"ING1"	"'transcriptional alterations'"
"ING2"	"'transcriptional alterations','senescent cells accumulation','stem cell exhaustion'"
"INPP1"	""
"INPP4A"	""
"INPP4B"	""
"INPP5K"	""
"IRF7"	"'nuclear DNA instability','transcriptional alterations'"
"ITCH"	"'degradation of proteolytic systems','sterile inflammation'"
"ITGB1BP2"	""
"ITK"	""
"ITPKB"	""
"ITPRID2"	""
"KDM5B"	"'alterations in histone modifications','chromatin remodeling','accumulation of reactive oxygen species'"
"KDM3B"	"'alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'"
"KATNB1"	""
"KBTBD6"	"'degradation of proteolytic systems'"
"KCNJ16"	""
"KCNJ9"	""
"KCNK17"	""
"KCNK4"	""
"KDM2A"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'"
"KDM7A"	"'alterations in histone modifications','transcriptional alterations','accumulation of reactive oxygen species'"
"KDSR"	"'accumulation of reactive oxygen species'"
"KHDRBS1"	"'transcriptional alterations'"
"KIAA1143"	""
"KIAA1217"	""
"KIF2A"	""
"KIF2C"	""
"KIF3B"	""
"KIF5B"	""
"KLF3"	"'transcriptional alterations'"
"KLF5"	"'transcriptional alterations','intercellular communication impairment'"
"KLF9"	"'transcriptional alterations'"
"KLRD1"	""
"KPNA4"	""
"KPNA5"	""
"KRT10"	""
"KTN1"	""
"PEDS1"	"'accumulation of reactive oxygen species'"
"LACTB"	"'degradation of proteolytic systems'"
"LAMP2"	"'intercellular communication impairment'"
"CERS6"	"'sterile inflammation'"
"LBH"	""
"LCK"	""
"LGI1"	""
"LGTN"	""
"LIMK2"	""
"LIPT1"	""
"LITAF"	"'transcriptional alterations'"
"LMAN1"	""
"LNPEP"	"'degradation of proteolytic systems','intercellular communication impairment'"
"LOXL4"	"'accumulation of reactive oxygen species'"
"ADGRL1"	""
"IRAG2"	"'nuclear architecture impairment'"
"LRP8"	"'degradation of proteolytic systems','intercellular communication impairment'"
"LSM10"	""
"LSM4"	""
"LTBP2"	"'changes in the extracellular matrix structure'"
"ZCRB1"	""
"MAFG"	"'transcriptional alterations'"
"MAGED1"	"'transcriptional alterations'"
"MAL"	""
"MAN1A2"	""
"MAN2A1"	"'impairment of the mitochondrial integrity and biogenesis'"
"MAOA"	"'accumulation of reactive oxygen species'"
"MAP3K2"	""
"MAP3K7CL"	""
"MAP3K8"	""
"MAP4K1"	""
"MAP4K3"	""
"MAPK8IP3"	""
"MATR3"	""
"MBP"	"'intercellular communication impairment'"
"MCM4"	"'nuclear DNA instability'"
"MCM7"	"'nuclear DNA instability'"
"MDC1"	"'nuclear DNA instability'"
"MED16"	"'transcriptional alterations'"
"MED21"	"'transcriptional alterations','stem cell exhaustion'"
"MED28"	"'stem cell exhaustion'"
"MEGF8"	""
"METTL1"	""
"MFHAS1"	"'sterile inflammation'"
"MICA"	"'nuclear DNA instability'"
"MID2"	""
"ALPK3"	""
"MIER2"	"'alterations in histone modifications','transcriptional alterations'"
"HINFP"	"'nuclear DNA instability','transcriptional alterations'"
"MKRN1"	""
"MLC1"	""
"MLF1"	"'transcriptional alterations'"
"CENPU"	""
"MLH3"	"'nuclear DNA instability'"
"MLXIP"	"'transcriptional alterations'"
"HERC2P2"	""
"MORF4L2"	"'nuclear DNA instability','alterations in histone modifications'"
"MRPL12"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'"
"MRPL13"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL28"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL34"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL40"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL41"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL42"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL48"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPL49"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPS16"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPS18B"	"'impairment of the mitochondrial integrity and biogenesis'"
"MRPS24"	"'impairment of the mitochondrial integrity and biogenesis'"
"MSH6"	"'nuclear DNA instability'"
"MSRB2"	"'accumulation of reactive oxygen species'"
"MT1G"	""
"MT1L"	""
"MT1X"	""
"MT2A"	""
"MTA2"	"'alterations in histone modifications','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'"
"MTIF2"	""
"MTMR4"	""
"MTO1"	"'impairment of the mitochondrial integrity and biogenesis'"
"MYBL1"	"'transcriptional alterations'"
"MYD88"	"'sterile inflammation'"
"MYH8"	""
"MYL10"	""
"MYL12A"	""
"MYO6"	"'nuclear DNA instability','transcriptional alterations'"
"NAA38"	""
"NAP1L2"	"'alterations in histone modifications','chromatin remodeling'"
"NAPA"	"'intercellular communication impairment'"
"NAPG"	""
"NCBP2AS2"	""
"NCF4"	"'accumulation of reactive oxygen species'"
"NCOA3"	"'alterations in histone modifications','transcriptional alterations'"
"NDFIP1"	"'degradation of proteolytic systems'"
"NDUFB10"	"'accumulation of reactive oxygen species'"
"NDUFB3"	"'accumulation of reactive oxygen species'"
"NDUFS3"	"'accumulation of reactive oxygen species'"
"NDUFS4"	"'accumulation of reactive oxygen species'"
"NEBL"	""
"NEDD4"	"'degradation of proteolytic systems'"
"SEPTIN2"	""
"NEK11"	""
"NEK7"	""
"NEU1"	""
"NFX1"	"'transcriptional alterations','sterile inflammation'"
"NFYA"	"'alterations in histone modifications','transcriptional alterations'"
"NFYC"	"'alterations in histone modifications','transcriptional alterations'"
"PSME3IP1"	""
"NIPSNAP3B"	""
"C17orf75"	""
"NLRP1"	"'degradation of proteolytic systems','sterile inflammation'"
"NME3"	""
"NNMT"	""
"NR1D2"	"'transcriptional alterations'"
"NR4A2"	"'transcriptional alterations','intercellular communication impairment'"
"NRCAM"	""
"NRM"	""
"NSF"	""
"NUDT21"	""
"NUDT6"	""
"NUP188"	""
"NUP43"	""
"NUP50"	""
"NUP58"	""
"NUP62"	"'senescent cells accumulation'"
"NUP88"	""
"NUTF2"	""
"NXT2"	""
"OAS2"	""
"GATAD1"	"'chromatin remodeling'"
"OFD1"	""
"OGFOD2"	"'accumulation of reactive oxygen species'"
"OGG1"	"'nuclear DNA instability','sterile inflammation'"
"OGT"	"'alterations in histone modifications','transcriptional alterations','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','disabled macroautophagy'"
"EXOSC8"	""
"OLIG2"	"'transcriptional alterations'"
"OR10C1"	""
"ORC5"	""
"OSBPL8"	""
"OSBPL9"	""
"OXA1L"	"'impairment of the mitochondrial integrity and biogenesis'"
"P2RX5"	""
"P2RY14"	""
"LPAR6"	""
"PACS1"	""
"PAFAH1B1"	"'nuclear architecture impairment','stem cell exhaustion','intercellular communication impairment'"
"PAFAH1B3"	""
"PAIP1"	""
"PAK1IP1"	""
"PALLD"	""
"PANX1"	"'intercellular communication impairment'"
"PANX2"	"'intercellular communication impairment'"
"PAPOLA"	""
"PARD6A"	""
"ARHGAP29"	""
"PATZ1"	"'transcriptional alterations'"
"PBXIP1"	"'alterations in histone modifications','sterile inflammation','changes in the extracellular matrix structure'"
"PCBD1"	"'accumulation of reactive oxygen species'"
"PCCA"	""
"PCDH17"	""
"PCTP"	""
"PDCD4"	""
"PDE3B"	""
"PDK3"	""
"PDS5A"	"'nuclear DNA instability'"
"PECAM1"	""
"PECR"	"'accumulation of reactive oxygen species'"
"PEX1"	""
"PEX16"	""
"PFDN4"	""
"PHLPP1"	""
"PHTF2"	""
"PICALM"	""
"PIERCE1"	"'nuclear DNA instability'"
"PIGK"	"'degradation of proteolytic systems'"
"PIGP"	""
"PIP4K2B"	""
"PITPNA"	""
"PLA2G4B"	"'sterile inflammation'"
"PLAG1"	"'transcriptional alterations'"
"PLCL1"	"'intercellular communication impairment'"
"PLD3"	"'sterile inflammation'"
"PLEK"	""
"PLP1"	"'sterile inflammation','intercellular communication impairment'"
"PLPP1"	""
"PLXNB1"	""
"PLXNC1"	""
"PMAIP1"	"'nuclear DNA instability','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','intercellular communication impairment'"
"EXOSC10"	""
"PNPLA6"	""
"POLE4"	""
"POLR2J2"	"'nuclear DNA instability','transcriptional alterations'"
"POLRMT"	"'transcriptional alterations','impairment of the mitochondrial integrity and biogenesis'"
"PON2"	""
"POP5"	""
"PPIF"	"'impairment of the mitochondrial integrity and biogenesis'"
"PPM1B"	""
"PPM1E"	""
"PPP1R13B"	""
"PPP1R2"	""
"PPP2R5C"	"'degradation of proteolytic systems'"
"PRDX6"	"'accumulation of reactive oxygen species'"
"PRIM1"	"'nuclear DNA instability'"
"PRKCH"	""
"PRKCZ"	"'sterile inflammation'"
"PRL"	""
"PRMT2"	"'alterations in histone modifications'"
"NDUFAF7"	""
"PRPF31"	""
"PRPF40A"	""
"PRPS1"	""
"PSMB4"	"'degradation of proteolytic systems'"
"PSMC6"	"'degradation of proteolytic systems'"
"PTBP1"	""
